yrTerm1Convertible.allUpfront,yrTerm1Convertible.noUpfront,yrTerm1Convertible.partialUpfront,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.noUpfront,yrTerm3Standard.partialUpfront,instance_type,on_demand
3.119635,3.342,3.183667,2.709475,2.903,2.76442,2.019216,2.225,2.060213,1.68417,1.935,1.791814,c5d.24xlarge,4.608
3.224087,3.454,3.289977,2.803539,3.004,2.860365,2.018569,2.225,2.059871,1.680708,1.931,1.787988,r5n.16xlarge,4.768
4.682078,5.017,4.777813,4.064269,4.355,4.14763,3.229871,3.559,3.295907,2.598896,2.986,2.764382,r5d.metal,6.912
8.822032,9.452,9.002027,7.671119,8.219,7.827813,4.474163,4.931,4.565725,3.731811,4.288,3.970008,x1.32xlarge,13.338
0.292123,0.313,0.298087,0.253995,0.272,0.259566,0.163927,0.181,0.167638,0.13653,0.157,0.145603,c5n.2xlarge,0.432
1.6121,1.727,1.644489,1.401826,1.502,1.430183,1.009285,1.112,1.029954,0.840373,0.966,0.893994,r5n.8xlarge,2.384
0.154452,0.165,0.157767,0.132877,0.142,0.135808,0.103196,0.114,0.105664,0.08497,0.098,0.090205,m5d.xlarge,0.226
3.159703,3.385,3.2241,2.709475,2.903,2.76442,2.120548,2.337,2.163925,1.73261,1.991,1.843613,m5.metal,4.608
0.092808,0.099,0.094374,0.080023,0.086,0.081753,0.055175,0.061,0.056158,0.046005,0.053,0.048467,m5dn.large,0.136
1.579909,1.693,1.61205,1.354795,1.452,1.38221,1.060274,1.168,1.081944,0.866286,0.995,0.921807,m5.12xlarge,2.304
17.944863,19.227,18.311479,15.593721,16.708,15.91205,13.026788,14.356,13.292309,7.882953,9.057,8.386075,p3.16xlarge,24.48
0.272831,0.2923,0.278355,0.2371,0.254,0.242005,0.191286,0.2108,0.195203,0.151598,0.1742,0.161232,r6g.2xlarge,0.4032
0.092694,0.099,0.09426,0.081393,0.095,0.083059,0.07325,0.086,0.075265,0.052245,,0.055609,m3.large,0.133
0.519977,0.557,0.530297,0.451598,0.484,0.460365,0.33653,0.371,0.343689,0.280708,0.322,0.298315,c5d.4xlarge,0.768
0.324201,0.347,0.330411,0.279909,0.3,0.285808,0.191248,0.211,0.195565,0.159741,0.184,0.16997,m5n.2xlarge,0.476
